time,env_t,obj_t
00:12:39,21.67,-0.85
00:12:40,21.67,-0.77
00:12:41,21.71,-0.81
00:12:42,21.65,-0.89
00:12:43,21.65,-0.89
00:12:44,21.67,-0.85
00:12:45,21.67,-0.85
00:12:46,21.67,-0.85
00:12:47,21.67,-0.85
00:12:48,21.71,-0.81
00:12:49,21.71,-0.81
00:12:50,21.73,-0.89
00:12:51,21.71,-0.85
00:12:52,21.71,-0.89
00:12:53,21.71,-0.85
00:12:54,21.67,-0.85
00:12:55,21.67,-0.77
00:12:56,21.71,-0.81
00:12:57,21.67,-0.93
00:12:58,21.71,-0.85
00:12:59,21.67,-0.81
00:13:00,21.71,-0.93
00:13:01,21.71,-1.01
00:13:02,21.71,-1.13
00:13:03,21.67,-1.05
00:13:04,21.67,-1.29
00:13:05,21.67,-1.09
00:13:07,21.67,-0.93
00:13:08,21.73,-1.05
00:13:09,21.65,-1.05
00:13:10,21.67,-1.09
00:13:11,21.67,-0.97
00:13:12,21.71,-0.97
00:13:13,21.73,-0.77
00:13:14,21.65,-0.81
00:13:15,21.65,-0.85
00:13:16,21.73,-0.77
00:13:17,21.67,-0.77
00:13:18,21.71,-0.81
00:13:19,21.65,-1.01
00:13:20,21.67,-1.05
00:13:21,21.67,-1.09
00:13:22,21.65,-1.01
00:13:23,21.65,-1.09
00:13:24,21.71,-1.17
00:13:25,21.63,-1.29
00:13:26,21.67,-1.17
00:13:27,21.67,-1.05
00:13:28,21.67,-1.09
00:13:29,21.67,-1.21
00:13:30,21.65,-1.17
00:13:31,21.67,-1.09
00:13:32,21.67,-0.89
00:13:33,21.65,-0.97
00:13:34,21.67,-0.93
00:13:35,21.67,-0.85
00:13:37,21.67,-0.85
00:13:38,21.67,-0.93
00:13:39,21.65,-0.89
00:13:40,21.65,-0.81
00:13:41,21.71,-0.77
00:13:42,21.71,-0.77
00:13:43,21.67,-0.65
00:13:44,21.67,-0.69
00:13:45,21.67,-0.77
00:13:46,21.71,-0.73
00:13:47,21.67,-0.69
00:13:48,21.71,-0.69
00:13:49,21.67,-0.69
00:13:50,21.65,-0.85
00:13:51,21.67,-0.81
00:13:52,21.73,-0.77
00:13:53,21.71,-0.65
00:13:54,21.63,-0.77
00:13:55,21.73,-0.53
00:13:56,21.73,-0.45
00:13:57,21.71,-0.57
00:13:58,21.67,-0.65
00:13:59,21.67,-0.53
00:14:00,21.71,-0.57
00:14:01,21.71,-0.61
00:14:02,21.67,-0.61
00:14:03,21.73,-0.81
00:14:05,21.71,-1.01
00:14:06,21.71,-0.89
00:14:07,21.71,-0.93
00:14:08,21.73,-0.77
00:14:09,21.71,-0.81
00:14:10,21.71,-0.81
00:14:11,21.67,-0.81
00:14:12,21.71,-0.73
00:14:13,21.71,-0.65
00:14:14,21.67,-0.65
00:14:15,21.73,-0.73
00:14:16,21.73,-0.77
00:14:17,21.67,-0.81
00:14:18,21.73,-0.69
00:14:19,21.73,-0.81
00:14:20,21.75,-0.85
00:14:21,21.75,-1.01
00:14:22,21.71,-0.81
00:14:23,21.71,-0.89
00:14:24,21.75,-0.85
00:14:25,21.73,-0.89
00:14:26,21.73,-0.93
00:14:27,21.67,-0.97
00:14:28,21.73,-1.13
00:14:29,21.71,-1.13
00:14:30,21.73,-1.01
00:14:31,21.71,-0.89
00:14:32,21.75,-0.93
00:14:34,21.73,-0.73
00:14:35,21.75,-0.69
00:14:36,21.67,-0.69
00:14:37,21.73,-0.77
00:14:38,21.73,-0.81
00:14:39,21.71,-0.73
00:14:40,21.71,-0.81
00:14:41,21.75,-0.73
00:14:42,21.71,-0.77
00:14:43,21.71,-0.77
00:14:44,21.75,-0.73
00:14:45,21.75,-0.65
00:14:46,21.75,-0.65
00:14:47,21.73,-0.81
00:14:48,21.73,-0.77
00:14:49,21.71,-0.85
00:14:50,21.71,-0.93
00:14:51,21.67,-1.09
00:14:52,21.73,-1.17
00:14:53,21.71,-1.13
00:14:54,21.71,-0.93
00:14:55,21.71,-1.01
00:14:56,21.73,-1.09
00:14:57,21.73,-1.01
00:14:58,21.73,-1.01
00:14:59,21.71,-1.05
00:15:00,21.67,-1.05
00:15:01,21.71,-1.01
00:15:02,21.75,-0.97
00:15:04,21.73,-0.97
00:15:05,21.71,-1.01
00:15:06,21.73,-0.97
00:15:07,21.67,-0.93
00:15:08,21.75,-0.77
00:15:09,21.75,-0.89
00:15:10,21.73,-0.93
00:15:11,21.73,-0.93
00:15:12,21.75,-0.85
00:15:13,21.71,-0.85
00:15:14,21.73,-0.81
00:15:15,21.71,-0.77
00:15:16,21.73,-0.85
00:15:17,21.75,-0.69
00:15:18,21.71,-0.73
00:15:19,21.75,-0.73
00:15:20,21.77,-0.93
00:15:21,21.73,-0.89
00:15:22,21.73,-0.85
00:15:23,21.73,-0.93
00:15:24,21.75,-0.89
00:15:25,21.75,-1.09
00:15:26,21.75,-0.93
00:15:27,21.73,-1.01
00:15:28,21.73,-0.93
00:15:29,21.73,-0.93
00:15:30,21.71,-0.85
00:15:31,21.75,-0.85
00:15:33,21.73,-0.93
00:15:34,21.73,-0.93
00:15:35,21.73,-0.81
00:15:36,21.73,-0.65
00:15:37,21.73,-0.85
00:15:38,21.75,-0.81
00:15:39,21.71,-0.93
00:15:40,21.73,-1.01
00:15:41,21.71,-0.97
00:15:42,21.75,-1.17
00:15:43,21.67,-1.33
00:15:44,21.71,-1.29
00:15:45,21.73,-1.29
00:15:46,21.71,-1.33
00:15:47,21.71,-1.33
00:15:48,21.75,-1.33
00:15:49,21.71,-1.39
00:15:50,21.75,-1.39
00:15:51,21.71,-1.35
00:15:52,21.67,-1.35
00:15:53,21.75,-1.09
00:15:54,21.67,-0.97
00:15:55,21.67,-0.81
00:15:56,21.67,-0.81
00:15:57,21.67,-0.81
00:15:58,21.71,-0.81
00:15:59,21.71,-0.77
00:16:00,21.73,-0.77
